id,title,website,opt_out_url,opt_out_guide_url,opt_out_guide_video_url,email,description,type,optery_support_tier,is_expanded_reach
21017,ACH Address Clearing House,https://www.achcoop.com/,https://www.achcoop.com/do-not-sell-my-personal-info,,,privacy@achcoop.com,,B2B Lead Generation,Core,False
20760,AGR Marketing Solutions,https://www.agrmarketingsolutions.com/,,,,info@agrmarketingsolutions.com,,Marketing,Core,True
26670,AMF Internet Services Limited,https://anymailfinder.com/,https://anymailfinder.com/legal/gdpr,,,legal@anymailfinder.com,"Anymail Finder, operated by AMF Internet Services Limited, is a tool designed to find professional email addresses for individuals at specific companies. Its primary customers include sales, marketing, and human resources professionals who use the service for lead generation, outreach, and recruitment. The platform scrapes public web sources and uses direct server validation to discover and verify corporate email patterns, a key feature being that users are only charged for emails that are successfully verified. By making business contact information readily available, the service exposes individuals to a higher risk of unsolicited marketing emails, spam, and targeted phishing scams by malicious actors. These risks are heightened as the service allows for bulk searching, enabling large-scale data collection for outreach campaigns. To mitigate this exposure, individuals should be cautious about where their professional contact information is shared online and can request to have their information removed from the platform's database via an opt-out process.",B2B Lead Generation,Custom Removals,False
21006,ANCHOR,https://anchorcomputer.com/,https://ecom2.anchorcomputer.com/ccpa,,,privacyteam@anchorcomputer.com,,Marketing,Core,False
21009,AWL,https://awl.com/,https://dnc.allwebleads.com/Unsubscribe,,,onlineops@awl.com,,Marketing,Core,True
21402,Acxiom,https://www.acxiom.com/,https://isapps.acxiom.com/optout/optout.aspx,,,consumeradvo@acxiom.com,"Acxiom is one of the biggest data brokers in the world. It holds an astronomical amount of data from multiple countries and shares this data with millions of businesses and consumers worldwide. Acxiom gathers information about people like home addresses, purchase histories, and online registrations, and uses that data to market to people.",Marketing,Core,False
20761,Ad Direct,https://addirectinc.com/,,,,customerservice@addirectinc.com,,Marketing,Core,True
24227,Adapt.io,https://www.adapt.io/,https://www.adapt.io/check-my-email,,,support@adapt.io,,B2B Lead Generation,Extended,False
26463,AddrHistory,https://addrhistory.com/,,,,,"AddrHistory.com provides a searchable database of property records across the United States, allowing users to find information by address or homeowner name. The site claims to have over 18 million property records, 30 million sale records, and 164 million tax records from thousands of cities. This service exposes personal information by linking individuals to their current and past addresses, alongside property sales and tax history, which could be used by anyone for various purposes. The accessibility of this data poses significant privacy risks, including doxxing, stalking, and providing bad actors with information that could be used for harassment or to piece together even more detailed personal profiles. To mitigate these risks, individuals should be cautious about the information they share publicly and can request to have their records removed from such databases.",People Search Site,Custom Removals,False
26717,Address Scoop,https://www.addressscoop.com/,,,,support@addressscoop.com,"Address Scoop is a property search website that provides detailed information on any address in the United States. The service allows users to look up properties and access comprehensive reports that include property details like square footage, number of bedrooms and bathrooms, tax information, and sales history. What sets Address Scoop apart is the inclusion of detailed owner information, such as names, phone numbers (including cell phones), email addresses, and even social media profiles. This public availability of sensitive personal data creates significant privacy risks, as it can be exploited for doxxing, stalking, and identity theft. Malicious actors could use this information to target individuals for harassment or fraud. To mitigate these risks, individuals should be cautious about the information they share online and can request to have their data removed from such databases.",People Search Site,Custom Removals,False
21239,Addresses.com,https://www.addresses.com/,https://www.intelius.com/privacy-center,,,priorityoptout@intelius.com,,People Search Site,Ultimate,False
18631,Adstra (American List Counsel),https://adstradata.com/,https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/f54a1b10-bb5d-4c99-9521-3e08dc527583,https://www.optery.com/adstra-how-to-opt-out-of-adstra-step-by-step-instructions/,,privacy.officer@adstradata.com,"Adstra was formerly known as American List Counsel (ALC). This data broker operates data management wherein they collect personal information such as name, mailing address, email, and telephone number. They also store your IP addresses and browsing activities while collecting data when you visit any website, app, or other digital media property. They provide access to all this data to their users.",People Search Site,Core,False
21013,Adttribution,https://www.adttribution.com/,https://www.adttribution.com/opt-out.html,,,info@adttribution.com,,Marketing,Core,True
21237,AdvancedBackgroundChecks,https://www.advancedbackgroundchecks.com/,https://www.advancedbackgroundchecks.com/removal,https://www.optery.com/advancedbackgroundchecks-com-how-to-opt-out-of-advancedbackgroundchecks-com-step-by-step-instructions/,,,"AdvancedBackgroundChecks.com is a free people search site with access to billions of public records. You can find contact information, phone numbers, and the addresses of friends, family members, or old classmates. Easy searches on just a phone number, name, email or address will reveal the detailed, personal information of individuals.",People Search Site,Ultimate,False
21153,AeroLeads,https://aeroleads.com/,https://aeroleads.com/contact,,,hello@aeroleads.com,,B2B Lead Generation,Ultimate,False
21015,Affinity Answers,https://www.affinityanswers.com/,https://www.affinityanswers.com/your-privacy-choices/,,,dataprivacy@affinityanswers.com,,Marketing,Core,True
21014,Affinity Solutions,https://www.affinity.solutions/,https://affinitysolutions-privacy.my.onetrust.com/webform/a564cfa1-53bf-4c10-bf95-cd907432d7e8/7e4e6bf3-6562-454e-8c73-6a7bd1f4b336,,,privacy@affinitysolutions.com,,Marketing,Core,True
26289,Affluense.ai,https://www.affluense.ai/,https://www.affluense.ai/privacy-policy,,,rishi@saleasy.io,"Affluense.ai is an AI-powered intelligence platform that specializes in identifying and creating detailed profiles of high-net-worth individuals (HNWIs) for business clients. Operating under the legal name Saleazy Technologies Private Limited and based in India, the company serves sectors such as wealth management, luxury goods, real estate, and private banking. The platform aggregates data from numerous public and third-party sources to provide comprehensive insights into the personal, professional, and financial lives of affluent individuals, including tracking real-time wealth events like IPOs and acquisitions. This practice of compiling extensive dossiers on wealthy individuals creates significant privacy risks, as the centralized sensitive financial and personal data could be a target for fraud, identity theft, and sophisticated scams. The detailed nature of the profiles could also expose individuals to targeted harassment or doxxing if the information is accessed by malicious actors. To safeguard their information, individuals should be cautious about the personal data they share publicly and can request to have their information removed from such databases.",B2B Lead Generation,Custom Removals,False
21388,Affordable Background Checks,http://affordablebackgroundchecks.com,https://infotracer.com/optout/,,,,,People Search Site,Extended,False
20850,Aged Lead Store,https://www.agedleadstore.com,,,,optout@nextwavemarketingstrategies.com,,B2B Lead Generation,Core,True
26452,"Aged Solar Leads, LLC",https://agedsolarleads.com/,https://agedsolarleads.com/privacy-policy/,,,info@agedsolarleads.com,"Aged Solar Leads, LLC is a data broker that specializes in selling ""aged"" sales leads to companies within the solar energy industry. The company aggregates and sells the personal information of individuals who previously expressed interest in solar installations by opting in through online forms on platforms like social media and Google. Their primary customers are solar sales and installation businesses looking for affordable, pre-qualified prospects to contact for marketing purposes. The data provided in these leads is extensive, including full names, addresses, phone numbers, email addresses, utility company details, electricity bill amounts, and credit ratings. The availability of this detailed personal and financial information poses significant privacy risks. By selling this data, Aged Solar Leads exposes individuals to a high volume of unsolicited marketing calls and emails from various solar companies. This concentration of contact and financial data also creates a target for scammers and fraudsters, who could use it to craft convincing phishing schemes or commit identity theft. To protect their privacy, individuals should be cautious about the information they share online and can request to be removed from the company's database to prevent their data from being sold further.",Marketing,Custom Removals,False
19495,Alabama Arrests,https://www.alabamaarrests.org/,https://infotracer.com/optout/,,,privacy@infotracer.com,"Alabama Arrests is a criminal records and warrant search website.  Anyone can search for criminal and personal information about residents of Alabama using a first and last name, and the Alabama county where they live. The site accesses Alabama public records for general information on individuals - with or without a criminal record. Search results include the age, current and previous locations of the person, and names of possible relatives. A detailed criminal record report may include charges filed, arrest history, location of offender and release dates, and the arrest records and charges filed even if there was not a conviction, for a fee.",People Search Site,Extended,False
21369,AlabamaCourtRecords.us,https://alabamacourtrecords.us/,https://alabamacourtrecords.us/optout/,,,privacy@courtrecords.us,,People Search Site,Extended,False
21211,AlarmsCalifornia,http://www.alarmscalifornia.org/,http://www.alarmscalifornia.org/about,,,contact@licensedata.org,,People Search Site,Core,False
16821,Alaska Arrests,https://www.alaskaarrests.org/,https://infotracer.com/optout/,,,privacy@infotracer.com,,People Search Site,Extended,False
21368,AlaskaCourtRecords.us,https://alaskacourtrecords.us/,https://alaskacourtrecords.us/optout/,,,privacy@courtrecords.us,,People Search Site,Extended,False
20794,Alesco Data,https://alescodata.com/,,,,info@alescodata.com,,Marketing,Core,True
26710,"Alignable, Inc.",https://www.alignable.com/,,,,,"Alignable is an online networking platform designed specifically for small business owners across the United States and Canada to connect, collaborate, and generate referrals. With a network of over nine million members, the service functions as a B2B social media platform where entrepreneurs can create profiles, join community forums, and share advice with others in their local area or industry. Users' public profiles contain business details including their name, company name, industry, and location, which they voluntarily provide. While intended for professional networking, the public display of this business contact information can create risks such as targeted phishing scams, business-related identity fraud, or unwanted solicitations from bad actors who scrape the site for data. To mitigate these risks, members should be cautious about the personal details they share publicly. Individuals can manage their information and opt-out by deactivating their account or submitting a formal request for complete data deletion.",B2B Lead Generation,Custom Removals,False
19500,All Biz,https://www.allbiz.com/,https://www.allbiz.com/removal,https://www.optery.com/all-biz-how-to-opt-out-of-all-biz-step-by-step-instructions/,,webmaster@allbiz.com,"AllBiz.com provides access to 40 million business listings using their simple search. The listings can contain personal details like names, job titles, addresses, contact information, social media profiles, location map and photos. Detailed business descriptions may include number of employees, year founded, and revenue.",Business Search,Extended,False
27233,AllHighSchools.com,https://allhighschools.com,,,,press@allhighschools.com,"AllHighSchools.com is a free-to-use people search site focused on connecting with past high school alumni. The platform claims to have data on over five million alumni from more than 50,000 schools across the United States. Users can search for individuals by first and last name, and graduation year to find profiles. While the site is intended for reconnecting with old friends, the public availability of names and associated schools can present privacy concerns. This information could potentially be misused by individuals for purposes of stalking or online harassment. To safeguard personal information, it is wise to be cautious about the data shared on public online platforms and to utilize the site's name removal options if you find your own information listed.",People Search Site,Custom Removals,False
21440,AllPeople,https://allpeople.com/,https://allpeople.com/removal,,,webmaster@allpeople.com,"AllPeople is the largest free directory of business contacts in the US. It allows users to look up information on working professionals such as name, email, professional position, address, phone number, company information, and more. The website sources and aggregates this information from government entities and other third-party sites.",B2B Lead Generation,Extended,False
26340,AllPeople.biz,https://allpeople.biz/,,,,,"AllPeople.biz operates as a free online directory of business contacts, with a specific focus on professionals and companies within India. The platform provides users with searchable access to business lead information, which can include names, professional titles, email addresses, phone numbers, and company details. Its primary function is to serve as a resource for B2B lead generation, allowing businesses to find and connect with potential clients, partners, and industry contacts throughout India. The availability of this professional contact information, however, raises privacy concerns. The data could be exploited by malicious actors for targeted phishing scams, spam marketing campaigns, or corporate espionage, creating significant security risks for the individuals and businesses listed. To mitigate these risks, professionals should be cautious about the information they share publicly and can explore any available opt-out or information removal processes offered by the platform.",B2B Lead Generation,Custom Removals,False
26535,"Allant Group, LLC",https://allantgroup.com/,,,,privacy@allantgroup.com,"Allant Group is a data and marketing technology company that provides audience management and data-driven solutions to businesses for their marketing campaigns. Serving industries such as financial services, communications, and retail, the company utilizes a platform that unifies consumer data from multiple sources to create detailed customer profiles for targeted advertising across email, social media, and direct mail. Allant Group acquires personal information from third-party data brokers and public records, including names, postal addresses, phone numbers, email addresses, and household details like age, gender, and the presence of children. The aggregation of this sensitive data for marketing profiles creates privacy risks, as it can be used for sophisticated and potentially manipulative advertising, and if accessed by malicious actors, could lead to fraud or identity theft. To safeguard their information, individuals should be cautious about the personal data they share online and can exercise their right to opt out of Allant Group's database by submitting a request through the company's privacy portal.",Marketing,Custom Removals,False
21010,Alliant,https://alliantinsight.com/,https://privacyportal-cdn.onetrust.com/dsarwebform/591ac1c1-3a1e-496f-9e43-ff4afb5fef85/2b52262e-8ada-4725-b86e-e4b960336f96.html,,,compliance@alliantdata.com,,Marketing,Core,True
21007,Alphonso,https://alphonso.tv/,https://choice.alphonso.tv/donotsell,,,compliance@lgads.tv,,Marketing,Core,True
25083,Altrata Inc,https://altrata.com/,,,,piprivacy@altrada.com,,Marketing,Core,True
26728,Alumni US,https://alumnius.net/,,,,,"Alumni US operates as a people search website focused on aggregating and displaying profiles of college and university graduates, primarily in the United States. The platform allows users to search for individuals by name and educational institution, revealing detailed personal and professional information. Profiles on the site can include current and past locations, job history, skills, and educational background. The public availability of this consolidated information poses significant privacy risks, as it can be exploited for stalking, doxxing, identity theft, and targeted harassment. Malicious actors could leverage this data to piece together comprehensive profiles for fraudulent activities or unwanted contact. To mitigate these risks, individuals should be cautious about the information they share publicly and can request to have their profiles removed from such databases through an opt-out process.",People Search Site,Custom Removals,False
26377,AmOne,https://www.amone.com/,https://apply.amone.com/privacy.asp,,,trustpilot@amone.com,"AmOne operates as a free online marketplace that connects consumers and small business owners with a network of lenders for various financial products, including personal loans and debt consolidation services. Since 1999, the service has matched potential borrowers with loan programs based on their financial situation and credit information. To use the service, individuals submit sensitive personal and financial data, which AmOne then shares with its affiliates and business partners to provide targeted financial offers. The collection and distribution of this sensitive financial information create significant privacy risks; if compromised, this data could be exploited by malicious actors for identity theft, targeted financial fraud, and sophisticated phishing schemes. To mitigate these risks, individuals should be cautious about where they share their financial details online. It is also prudent to review AmOne's privacy policy and exercise data rights, such as requesting the deletion of personal information stored on their servers.",Marketing,Custom Removals,False
26434,"Amedisys, Inc.",https://www.amedisys.com/,https://cdn.amedisys.com/userfiles/CCPA%20Request%20Form.pdf,,,privacy@amedisys.com,"Amedisys, Inc. is a prominent American healthcare company that provides home health, hospice, and palliative care services. Rather than operating as a public data broker, Amedisys functions as a healthcare provider, creating detailed patient profiles to deliver personalized medical care and support in patients' homes. Their services are primarily for individuals recovering from illness or surgery, or managing long-term conditions, and are coordinated with physicians and hospitals across the United States. The company collects and manages extensive personal and highly sensitive protected health information (PHI), which is governed by the Health Insurance Portability and Accountability Act (HIPAA). The primary privacy risk associated with Amedisys is not the public sale or exposure of data, but the potential for a data breach, which could expose extremely sensitive medical histories and personal identifiers. Such a breach could lead to medical identity theft, targeted fraud, and discrimination. Because Amedisys does not sell patient information, the risks of stalking or general harassment from public data exposure are minimal. Individuals under their care can best protect themselves by understanding their rights under HIPAA, reviewing the company's privacy notices, and being cautious about sharing their health information.",Profile Data Broker,Custom Removals,False
21427,AmericaPhonebook,http://www.americaphonebook.com/,http://www.americaphonebook.com/contact.php,https://www.optery.com/americaphonebook-how-to-opt-out-of-americaphonebook-step-by-step-instructions/,,,"AmericaPhonebook is a data broker that provides the personal, private, contact information of over 90% of adults in the United States. Names, addresses and phone numbers are revealed with a simple search on the AmericaPhonebook site.",People Search Site,Core,False
20759,American City Business Journals,https://www.acbj.com/,,,,PrivacyPolicyCoordinator@bizjournals.com,,Marketing,Core,True
27234,Amfibi,https://amfibi.com,,,,,"Amfibi operates as a global search engine and directory for business profiles across a wide range of industries. The platform allows users to search for companies and access information such as their location, contact details, and business category. While the site focuses on company data rather than individual consumer profiles, the exposure of business contact information can still present privacy risks. This information could be harvested by bad actors for targeted phishing scams directed at employees, business-to-business spam, or other fraudulent activities. To protect business information, individuals should be cautious about the details they list publicly online and can request to have their company's profile removed from such directories.",Business Search,Custom Removals,False
20800,Amplemarket,https://www.amplemarket.com/,,,,privacy@amplemarket.com,,B2B Lead Generation,Core,True
16860,AnalyticsIQ,https://analytics-iq.com/,https://privacyportal.onetrust.com/webform/f6a59500-f900-4652-b030-0cd51afe15a5/87ca07e4-e06c-4ad8-9aa6-ccbbaa8750c1,https://www.optery.com/analyticsiq-how-to-opt-out-of-analyticsiq-step-by-step-instructions/,,privacy@analyticsiq.com,AnalyticsIQ is a company specializing in consumer data that has been researched using data science and cognitive psychology. Their methods and personal data are used by marketing companies and other businesses.,B2B Lead Generation,Core,False
26618,Ancestry.com UK Limited,https://www.ancestry.co.uk/,,,,support@ancestry.co.uk,"Ancestry.co.uk is the UK-specific platform of the global genealogy giant, Ancestry, which provides access to billions of historical records to help users research and construct their family trees. The service is primarily used by individuals interested in discovering their family history and building a comprehensive picture of their lineage. Beyond record collections, a significant and popular feature is its DNA testing service, which offers insights into a user's ethnic origins and connects them with potential relatives within the vast Ancestry DNA network. The immense database of personal information, including names, birth dates, family relationships, and sensitive genetic data, raises considerable privacy concerns. This concentration of personal and familial data could be a target for bad actors, potentially leading to risks of identity theft, fraud, and social engineering. To safeguard their information, individuals should be cautious about the extent of personal data they share publicly on the platform and utilize the available privacy settings to control the visibility of their family tree and DNA information. Users also have the option to request the deletion of their data and account.",Profile Data Broker,Custom Removals,False
21004,Andrews Wharton,https://www.andrewswharton.com/,https://www.andrewswharton.com/your-privacy-choices,,,privacy@andrewswharton.com,,B2B Lead Generation,Core,False
26634,AnswerLady,https://answerlady.com/,,,,customercare@peoplefinders.com,"Answerlady.com now operates as PeopleFinders, a prominent data broker that provides detailed reports on individuals by aggregating vast amounts of public records. This service allows users to search for people using a name, phone number, or address to access a wide range of personal information. The data provided in their reports can include current and past addresses, phone numbers, information on relatives and associates, and in some cases, more sensitive details like criminal records and financial history. The primary customers are individuals seeking to reconnect with people or learn more about someone in their life. The extensive availability of personal data on platforms like PeopleFinders creates significant privacy concerns. The ease with which this information can be accessed can expose individuals to risks such as identity theft, stalking, doxxing, and harassment. Malicious actors could potentially use this data to carry out fraudulent activities or to target individuals for various forms of harm. To mitigate these risks, it is advisable for individuals to be cautious about the personal information they share online and to actively seek the removal of their data from such databases. Individuals can request to have their information removed from the PeopleFinders database through an opt-out process on their website.",People Search Site,Custom Removals,False
21005,Anteriad,https://anteriad.com/,https://info.anteriad.com/marketing-data-unsubscribe-page,,,privacy@anteriad.com,,Marketing,Core,True
21232,AnyWho,https://www.anywho.com/,https://www.intelius.com/suppression-center/,,,,,People Search Site,Core,False
26690,Apartments.com,https://www.apartments.com/,https://www.apartments.com/grow/about/do-not-sell-my-personal-information-california-residents,,,support@apartments.com,"Apartments.com is a large online apartment listing platform that provides renters with access to over 1,000,000 available units for rent. Owned by CoStar Group, it operates a comprehensive network of sites, serving as a primary advertising and marketing tool for property managers, multifamily marketers, and independent landlords to showcase their properties to potential tenants. The platform collects and verifies extensive data on rental properties, including availability, rates, and pet policies. While primarily a property search tool, the service processes significant personal information when renters inquire about listings or submit applications, which can include contact details, income history, and credit scores. This centralization of sensitive financial and housing information creates a potential for misuse if not properly secured, posing risks of fraud and identity theft. To mitigate these risks, individuals should be cautious about the information they share and can make privacy requests directly to the company.",Marketing,Custom Removals,False
21147,Apollo,https://www.apollo.io/,https://www.apollo.io/privacy-policy/remove,https://www.optery.com/apollo-io-how-to-opt-out-of-apollo-io-step-by-step-instructions/,,privacy@apollo.io,"Apollo.io is a B2B data broker that sources new leads and verified emails from their database containing over 275 million contacts. Apollo.io uses a sales AI to provide high value leads and connect users with accurate buyer data. If you are concerned about your personal or company online security, we have created step-by-step instructions on How to Opt Out of Apollo.io below.",B2B Lead Generation,Ultimate,False
20742,Appily,https://www.appily.com/,,,,privacy@eab.com,,Marketing,Core,True
18572,Areacode-Lookup,https://www.areacode-lookup.com/,https://www.areacode-lookup.com/optout,https://www.optery.com/areacode-lookup-how-to-opt-out-and-remove-yourself-from-areacode-lookup-step-by-step-instructions/,,,"Areacode-Lookup is a data broker that allows a user to search for any phone number in the United States and find out the name and location of the owner of the number, personal details about the owner, name of the phone carrier and a geolocation map. Users can also search popular US cities and view lists of phone numbers from those cities. Those searching for a phone number can leave a comment about that number or the owner that becomes available for public viewing.",Phone Directory,Core,False
20756,Arity,https://arity.com/,,,,privacy@arity.com,,Marketing,Core,True
16843,Arizona Arrests,https://www.arizonaarrests.org/,https://infotracer.com/optout/,,,privacy@infotracer.com,,People Search Site,Extended,False
26522,Arizona Corporation Commission,http://www.corporatesaz.com/,,,,,"The Arizona Corporation Commission's website provides public access to information about business entities registered within the state of Arizona. It functions as a public records database, allowing users to search for and view details about corporations, LLCs, and other business entities. The information exposed includes company names, filing histories, and the names and addresses of corporate officers and statutory agents. While this information is a matter of public record, its easy accessibility online can be leveraged by bad actors for B2B scams, targeted marketing, or to gather intelligence for fraudulent activities. Individuals who have registered businesses using their personal information may be exposed to privacy risks. To mitigate these risks, individuals should consider using a registered agent service and be cautious about the personal information they submit in public business filings.",Business Search,Custom Removals,False
21372,ArizonaCourtRecords.us,https://arizonacourtrecords.us/,https://arizonacourtrecords.us/optout/,,,privacy@courtrecords.us,,People Search Site,Extended,False
16825,Arkansas Arrests,https://www.arkansasarrests.org/,https://infotracer.com/optout/,,,privacy@infotracer.com,,People Search Site,Extended,False
21370,ArkansasCourtRecords.us,https://arkansascourtrecords.us/,https://arkansascourtrecords.us/optout/,,,privacy@courtrecords.us,,People Search Site,Extended,False
21100,AroundDeal,https://www.arounddeal.com/,https://www.arounddeal.com/remove-profile,https://www.optery.com/arounddeal-how-to-opt-out-of-arounddeal-step-by-step-instructions-2/,,support@arounddeal.com,"AroundDeal is a global platform for sales and marketing automation. They have access to over 120 million contacts and company information in their database. This allows for high quality lead generation, go-to-market strategy optimization, and increased revenue. If you are concerned about your online privacy and the online privacy of the company you work for, consider opting out of AroundDeal and removing your personal information from their website.",B2B Lead Generation,Core,False
16852,ArrestWarrant.org,https://arrestwarrant.org/,https://ms.arrestwarrant.org/InfoPayOpt-OutNew.pdf,,,support@verifyrecords.com,,People Search Site,Extended,False
26595,Arrests.org,https://arrests.org/,,,,info@arrests.org,"Arrests.org is an online database that collects and publishes public arrest records and mugshots from law enforcement agencies across the United States. The platform allows users to search for individuals by name and location, providing details such as booking photos, arrest dates, and the charges filed. Its primary users include individuals conducting personal background checks, legal professionals researching cases, and employers screening potential hires. The public availability of this sensitive information on Arrests.org creates significant privacy risks, as the data can be easily accessed and misused for purposes of harassment, doxxing, and reputational harm, regardless of whether the individual was convicted of a crime. The prominent display of mugshots can lead to lasting negative impressions and social stigma, even if the charges were dropped or the person was found innocent. To protect their privacy, individuals should be mindful of the information they share online and can request to have their records removed from the website's database.",People Search Site,Custom Removals,False
20753,Aspire North,https://aspire-north.com/,,,,privacy@aspire-north.com,,Marketing,Core,True
18629,AtData,https://www.atdata.com/,https://instantdata.atdata.com/optout,https://www.optery.com/atdata-how-to-opt-out-of-atdata-step-by-step-instructions/,,privacy@atdata.com,"AtData, formerly known as TowerData, is a data company that provides marketers with information about consumers. According to their website, they claim to provide “an easy way to get the most accurate and current information about consumers.” AtData primarily collects data about your online activity. Some of the ways they collect data are through surveys, online forms, and cookies. They then sell this information to third-party advertisers who use it to create ads and marketing campaigns targeted at you. There are several reasons why you might want to opt out of AtData. First, you may not want your personal data to be collected and sold without your consent. Second, you may not want to receive targeted ads based on your personal data. Finally, you may simply want to protect your privacy. If any of these reasons resonate with you, then we recommend that you opt out of AtData. Optery helps you scan and remove your exposed private information from data broker sites. We cover more than 315 data broker sites where you can find your information exposed. You can sign up for a free Exposure Scan or upgrade to our paid subscription and let our opt-out Agents help you with the removals. Follow the steps below to manually opt out of AtData.",People Search Site,Core,False
21011,Attribits,https://www.attribits.com/,https://www.attribits.com/do-not-sell,,,compliance@allgoodmediagroup.com,,Marketing,Core,True
21000,Audiencerate,https://www.audiencerate.com/,https://www.audiencerate.com/optout,,,privacy@audiencerate.com,,Marketing,Core,True
26270,AusiBiz,https://www.ausibiz.com/,,,,,"AusiBiz is a free-to-use online Australian business directory with a database of 3.9 million business listings. It provides a range of data points including business names, addresses, phone numbers, emails, websites, hours of operation, and primary business contacts. The platform is utilized by those seeking to find and compare business information, including details on company revenue, industry, and social media links. While primarily focused on business data, the inclusion of primary contact names and other details could potentially expose individuals to unsolicited marketing or contact. To protect personal information, individuals associated with businesses should be mindful of the data shared in public directories and can seek to have their information removed from such platforms.",Business Search,Custom Removals,False
